timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699448162176,203,click My Info-49,401,Unauthorized,jp@gc - Ultimate Thread Group 1-3,text,false,,328,807,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees/7/custom-fields?screen=personal,203,0,0
1699448162379,220,click My Info-47,401,Unauthorized,jp@gc - Ultimate Thread Group 1-3,text,false,,328,794,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees/7/personal-details,220,0,0
1699448162599,62,click My Info-50,503,Service Temporarily Unavailable,jp@gc - Ultimate Thread Group 1-3,text,false,,762,823,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees/7/screen/personal/attachments?limit=50&offset=0,62,0,0
1699448162662,261,click My Info-52,401,Unauthorized,jp@gc - Ultimate Thread Group 1-3,text,false,,328,752,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/leave/holidays?fromDate=2023-01-01&toDate=2023-12-31,261,0,0
1699448162924,217,click My Info-53,401,Unauthorized,jp@gc - Ultimate Thread Group 1-3,text,false,,328,728,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/leave/workweek?model=indexed,217,0,0
1699448163142,206,click My Info-54,401,Unauthorized,jp@gc - Ultimate Thread Group 1-3,text,false,,328,713,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees,206,0,0
1699448163348,60,click My Info-55,503,Service Temporarily Unavailable,jp@gc - Ultimate Thread Group 1-3,text,false,,762,752,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/leave/holidays?fromDate=2023-01-01&toDate=2023-12-31,60,0,0
1699448162183,1804,click My Info,503,"Number of samples in transaction : 13, number of failing samples : 12",jp@gc - Ultimate Thread Group 1-4,,false,,111681,10873,5,5,null,0,2,0
1699448162183,261,click My Info-39,503,Service Temporarily Unavailable,jp@gc - Ultimate Thread Group 1-4,text,false,,2421,1691,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,199,0,0
1699448162183,199,click My Info-39-0,302,Found,jp@gc - Ultimate Thread Group 1-4,text,true,,1659,849,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewMyDetails,199,0,0
